meter_id,measurement_type
6,"Active, reactive, apparent energy (signed, four quadrant)"
6,"Apparent power S, S1, S2, S3"
7,Current 
7,Voltage 
7,Frequency 
7,Power factor 
7,Energy 
7,Active and reactive power 
8,Current 
8,Voltage 
8,Frequency 
8,Power factor 
8,Energy 
8,Active and reactive power 
9,Current 
9,Voltage 
9,Frequency 
9,Power factor 
9,Energy 
9,Active and reactive power 
10,Current (per phase and neutral) 
10,"Voltage (total, per phase L-L and L-N) "
10,Frequency 
10,Power factor 
10,Energy 
10,Active and reactive power 
11,Current (per phase and neutral) 
11,"Voltage (total, per phase L-L and L-N) "
11,Frequency 
11,Power factor 
11,Energy 
11,Active and reactive power 
12,Current (per phase and neutral) 
12,"Voltage (total, per phase L-L and L-N) "
12,Frequency 
12,Power factor 
12,Energy 
12,Active and reactive power 
13,Current (per phase and neutral) 
13,"Voltage (total, per phase L-L and L-N) "
13,Frequency 
13,Power factor 
13,Energy 
13,Active and reactive power 
14,Current (per phase and neutral) 
14,"Voltage (total, per phase L-L and L-N) "
14,Frequency 
14,Power factor 
14,Energy 
14,Active and reactive power 
15,Current (per phase and neutral) 
15,"Voltage (total, per phase L-L and L-N) "
15,Frequency 
15,Power factor 
15,Energy 
15,Active and reactive power 
16,Current
16,Voltage
16,Frequency
16,Power factor
16,Energy
16,Active and reactive power
16,Measured neutral current
16,Calculated ground current
17,Current
17,Voltage
17,Frequency
17,Power factor
17,Energy
17,Active and reactive power
17,Measured neutral current
17,Calculated ground current
18,Current 
18,Voltage 
18,Frequency 
18,Power factor 
18,Energy 
18,Active and reactive power 
18,Measured neutral current 
18,Calculated ground current 
18,Residual Current Measurement (RCM)
19,"Current per phase, rms"
19,Voltage
19,Frequency total
19,Active and reactive power total
19,Apparent power total
19,Power factor total
19,"Active and reactive power per phase, rms"
19,"Apparent power per phase, rms"
19,Power factor per phase rms
20,Current
20,Voltage
20,Frequency
20,Active and reactive power total
20,Apparent power total
20,Power factor total
20,"Active and reactive power per phase, rms"
20,"Apparent power per phase, rms"
20,Power factor per phase rms
21,"Current per phase, rms"
21,Voltage
21,Frequency total
21,Active and reactive power total
21,Apparent power total
21,Power factor total
21,"Active and reactive power per phase, rms"
21,"Apparent power per phase, rms"
21,Power factor per phase rms
22,"Current per phase, rms"
22,Voltage
22,Frequency total
22,Active and reactive power total
22,Apparent power total
22,Power factor total
22,"Active and reactive power per phase, rms"
22,"Apparent power per phase, rms"
22,Power factor per phase rms
23,Current
23,Voltage
23,Frequency
23,Active and reactive power total
23,Apparent power total
23,Power factor total
23,"Active and reactive power per phase, rms"
23,"Apparent power per phase, rms"
23,Power factor per phase rms
24,"Current per phase, rms"
24,Voltage
24,Frequency total
24,Active and reactive power total
24,Apparent power total
24,Power factor total
24,"Active and reactive power per phase, rms"
24,"Apparent power per phase, rms"
24,Power factor per phase rms
25,"Current per phase, rms"
25,Voltage
25,Frequency total
25,Active and reactive power total
25,Apparent power total
25,Power factor total
25,"Active and reactive power per phase, rms"
25,"Apparent power per phase, rms"
25,Power factor per phase rms
26,Current
26,Voltage
26,Frequency
26,Active and reactive power total
26,Apparent power total
26,Power factor total
26,"Active and reactive power per phase, rms"
26,"Apparent power per phase, rms"
26,Power factor per phase rms
27,"Current per phase, rms"
27,Voltage
27,Frequency total
27,Active and reactive power total
27,Apparent power total
27,Power factor total
27,"Active and reactive power per phase, rms"
27,"Apparent power per phase, rms"
27,Power factor per phase rms
28,"Voltage (L-L, L-N, L-E)"
28,"Current (per phase, avg, I4, I5)"
28,"Active, reactive, apparent power (per phase and total)"
28,Power factor (per phase and total)
28,Frequency
28,Voltage and current unbalance
28,Phase reversal
28,Calculated residual current
29,"Voltage (L-L, L-N, L-E)"
29,"Current (per phase, avg, I4, I5)"
29,"Active, reactive, and apparent power (per phase and total)"
29,Power factor (per phase and total)
29,Frequency
29,Voltage and current unbalance
29,Phase reversal
29,Calculated residual current
30,Total active energy
30,Partial active energy
31,Total active energy
31,Partial active energy
32,Active and reactive energy (four quadrant)
32,Current
32,Voltage
32,Power
32,Power Factor
33,Active and reactive energy (four quadrant)
33,Current
33,Voltage
33,Power
33,Power Factor
34,Active and reactive energy (four quadrant)
34,Current
34,Voltage
34,Power
34,Power Factor
